---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME      |COLUMN_NAME              |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                            |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|any |30043|any    |SAPABAP1   |ACDOCA          |$rowid$                  |      14|   730528362|     0|DEFAULT    |FULL      |                |ROWID            |     1|NO      |                                    |    18178.07|     9374.27|          0|              0|            0|2021/07/09 11:15:45|
|any |30043|any    |SAPABAP1   |ACDOCA          |$rowid$                  |      22|          -1|     0|DEFAULT    |NONE      |                |ROWID            |     0|NO      |                                    |       76.55|        57.3|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |$trex_udiv$              |      33|          -1|     0|DEFAULT    |NONE      |                |TREX_UDIV        |     0|NO      |                                    |        3.57|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |$trex_udiv$              |       3|           0|     0|DEFAULT    |NONE      |                |TREX_UDIV        |     1|NO      |                                    |        0.02|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       6|          -1|    30|INDIRECT   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        4.02|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       2|          -1|    30|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |         0.0|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       1|         867|    30|SPARSE     |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.44|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       3|           0|    30|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |      20|          -1|    30|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.52|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       3|          -1|    30|SPARSE     |BLOCK     |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.01|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCAS                    |       1|       15645|    30|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |       26.03|         0.0|          0|              0|            0|2021/07/09 15:15:05|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |       2|          -1|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |         0.0|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |       3|           0|     2|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |      10|          -1|     2|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.58|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |       1|           3|     2|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.17|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |       1|           3|     2|CLUSTERED  |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |       44.28|         0.0|          0|              0|            0|2021/07/09 15:15:05|
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY                  |      19|          -1|     2|CLUSTERED  |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.17|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ACCASTY_SENDER           |       3|           0|     2|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
