-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME|INDEX_NAME                                                                             |CONSTRAINT|INDEX_TYPE           |COLUMN_NAME                                                      |SPAN|MEMORY_MB|NUM_DISTINCT|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SAPS4D     |EKKO      |EKKO~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|MANDT                                                            |   2|     1.05|           2|
|SAPS4D     |EKKO      |EKKO~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|EBELN                                                            |   0|      0.0|      166088|
|SAPS4D     |EKKO      |esh:ftx~saps4d~ekko~submi~001                                                          |          |FULLTEXT             |SUBMI                                                            |   1|     4.93|        4584|
|SAPS4D     |EKKO      |EKKO~H4P                                                                               |          |INVERTED VALUE       |SUBMI                                                            |   1|     0.01|        4580|
|SAPS4D     |EKKO      |EKKO~H7Y                                                                               |          |INVERTED VALUE       |LIFNR                                                            |   1|     0.18|        3933|
|SAPS4D     |EKKO      |EKKO~HQ3                                                                               |          |INVERTED VALUE       |ERNAM                                                            |   1|     0.15|         179|
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=1018b4c0c61a~ty=alph10~a=ebeln~t=ekko~cv=alphanum$      |          |INVERTED VALUE       |esh:ca~id=1018b4c0c61a~ty=alph10~a=ebeln~t=ekko~cv=alphanum      |   1|     0.03|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=1ac78ccf76d0~ty=date27~a=kdatb~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=1ac78ccf76d0~ty=date27~a=kdatb~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=3850471f2dec~ty=date27~a=ihran~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=3850471f2dec~ty=date27~a=ihran~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=6348b9f37870~ty=date27~a=aedat~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=6348b9f37870~ty=date27~a=aedat~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=87aa60cadc0f~ty=alph10~a=lifnr~t=ekko~cv=alphanum$      |          |INVERTED VALUE       |esh:ca~id=87aa60cadc0f~ty=alph10~a=lifnr~t=ekko~cv=alphanum      |   1|     0.02|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=ac076de0f393~ty=date27~a=kdate~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=ac076de0f393~ty=date27~a=kdate~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=d23ac419ff21~ty=date27~a=bedat~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=d23ac419ff21~ty=date27~a=bedat~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=d706a193b5e0~ty=date27~a=angdt~t=ekko~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=d706a193b5e0~ty=date27~a=angdt~t=ekko~cv=longdate      |   1|     0.01|            |
|SAPS4D     |EKKO      |CONCAT ATTRIBUTE<br>$esh:ca~id=e6c938d65226~ty=alph10~a=konnr~t=ekko~cv=alphanum$      |          |INVERTED VALUE       |esh:ca~id=e6c938d65226~ty=alph10~a=konnr~t=ekko~cv=alphanum      |   1|      0.0|            |
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |BSART                                                            |   1|      0.0|          12|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |EBELN                                                            |   1|     0.36|      166088|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |EKGRP                                                            |   1|      0.0|         184|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |FRGSX                                                            |   1|      0.0|          27|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |FRGZU                                                            |   1|      0.0|          15|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |LPONR                                                            |   1|     0.01|         562|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |MANDT                                                            |   1|      0.0|           2|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |RESWK                                                            |   1|      0.0|          32|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |VERKF                                                            |   1|      0.0|         546|
|SAPS4D     |EKKO      |implicit                                                                               |          |INVERTED VALUE       |ZBD1P                                                            |   1|      0.0|           9|
