SCHEMA_NAME;OBJECT_NAME;LVL;DEPENDENT_OBJECT
_SYS_BIC;ZFPRTC/ZCV_RTCSC1_UNION (CALC VIEW);  1;_SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_BPCUNION (CALC VIEW)                                                                                                                                    
;;  2;  _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_BPCUNION/proc (PROCEDURE)                                                                                                                                  
;;  3;    _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA (CALC VIEW)                                                                                                                              
;;  4;      _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc (PROCEDURE)                                                                                                                        
;;  5;        _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT (TABLE)                                                                                                                
;;  5;        _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_ENTITY (CALC VIEW)                                                                                                                
;;  6;          _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_ENTITY/proc (PROCEDURE)                                                                                                      
;;  7;            SAPABAP1.RTC_ENTITY_M (TABLE)                                                                                          
;;  7;            _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_ENTITY/proc/tabletype/VAR_OUT (TABLE)                                                                                          
;;  5;        _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_FSIM (CALC VIEW)                                                                                                                
;;  6;          _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_FSIM/proc (PROCEDURE)                                                                                                      
;;  7;            _SYS_BIC.ZFPRTC/RTC_C_200RTCSC1_FSIM/proc/tabletype/VAR_OUT (TABLE)                                                                                          
;;  7;            _SYS_BIC.ZFPRTC/RTC_C_CONS_ACCT_M (CALC VIEW)                                                                                          
;;  8;              SAPABAP1.SKA1 (TABLE)                                                                            
;;  8;              SAPABAP1.T004 (TABLE)                                                                            
