SCHEMA_NAME;TABLE_NAME;COLUMN_NAME;DATA_TYPE;LENGTH
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;ANBWA;NVARCHAR(STRING);3
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;ANLN1;NVARCHAR(STRING);12
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;AUDIT_TRA;NVARCHAR(STRING);20
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;BPC_CATG;NVARCHAR(STRING);10
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;CONS_CUR;NVARCHAR(STRING);5
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;CONS_SL;DECIMAL(FIXED);23
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;DIM;NVARCHAR(STRING);3
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;ENTITY;NVARCHAR(STRING);32
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;FISCYEARPER;NVARCHAR(STRING);7
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;KDGRP;NVARCHAR(STRING);2
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;KOKRS;NVARCHAR(STRING);4
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;KTOPL;NVARCHAR(STRING);4
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;MATKL;NVARCHAR(STRING);9
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;MODEL;NVARCHAR(STRING);6
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PBUKRS;NVARCHAR(STRING);4
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PENTITY;NVARCHAR(STRING);32
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PERIV;NVARCHAR(STRING);2
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PPRCTR;NVARCHAR(STRING);10
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PRCTR;NVARCHAR(STRING);10
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PSEGMENT;NVARCHAR(STRING);10
_SYS_BIC;ZFPRTC/RTC_C_200RTCSC1_BPCACT_GRP_FA/proc/tabletype/VAR_OUT;PS_POSID;NVARCHAR(STRING);24
