----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SNAPSHOT_TIME      |NUM|HOST|PORT |SCHEMA_NAME|LOCATION              |TABLES                                            |STATEMENT_HASH                  |PLAN_ID  |STORE |ENGINES|DB_USER|DIST |P  |I|PST|TP|RC|INV_REASON                             |EXECUTIONS|RECORDS|REC_PER_EXEC|ELAPSED_MS|ELA_PER_EXEC_MS|ELA_PER_REC_MS|EXEC_PER_EXEC_MS|PREPS|PREP_MS|LOCK_WAIT_MS|LOCK_PER_EXEC_MS|CURSOR_MS|CUR_PER_EXEC_MS|OPEN_MS|OPEN_PER_EXEC_MS|FETCH_MS|FETCH_PER_EXEC_MS|NETWORK_REQ|NW_REQ_PER_EXEC|NW_SIZE_GB|NW_PER_EXEC_MB|NETWORK_MS|NW_PER_EXEC_MS|MEMORY_GB|MEM_PER_EXEC_MB|THREADS|THR_PER_EXEC|APP_NAME|APP_SOURCE                           |STATEMENT_STRING                                  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2021/08/31 07:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1397|   1397|           1|   2490930|        1783.05|       1783.05|         1783.05|    0|      0|           0|               0|  2491396|        1783.38|2490562|         1782.79|      41|             0.02|          0|              0|         0|             0|         0|             0|  2598.54|        1904.73| 873039|      624.93|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 06:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 3|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       809|    809|           1|   1421625|        1757.26|       1757.26|         1757.26|    0|      0|           0|               0|  1422333|        1758.13|1421417|          1757.0|      23|             0.02|          0|              0|         0|             0|         0|             0|  1504.51|        1904.35| 510973|      631.61|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 05:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       576|    576|           1|    996198|        1729.51|       1729.51|         1729.51|    0|      0|           0|               0|   996427|         1729.9| 996048|         1729.24|      17|             0.02|          0|              0|         0|             0|         0|             0|   1075.5|         1912.0| 368218|      639.26|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 04:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       357|    357|           1|    611182|        1711.99|       1711.99|         1711.99|    0|      0|           0|               0|   611339|        1712.43| 611091|         1711.74|      11|             0.02|          0|              0|         0|             0|         0|             0|   669.38|        1920.01| 228199|      639.21|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 03:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       355|    355|           1|    604298|        1702.24|       1702.24|         1702.24|    0|      0|           0|               0|   604439|        1702.64| 604207|         1701.99|      10|             0.02|          0|              0|         0|             0|         0|             0|   673.59|        1942.99| 226710|      638.61|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 02:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       524|    524|           1|    903824|        1724.85|       1724.85|         1724.85|    0|      0|           0|               0|   903962|        1725.11| 903690|         1724.59|      16|             0.02|          0|              0|         0|             0|         0|             0|   986.51|        1927.84| 331644|       632.9|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 01:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       651|    651|           1|   1116083|        1714.41|       1714.41|         1714.41|    0|      0|           0|               0|  1116488|        1715.03|1115914|         1714.15|      20|             0.03|          0|              0|         0|             0|         0|             0|  1232.13|         1938.1| 412635|      633.84|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/31 00:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216| 57460003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       566|    566|           1|    972159|        1717.59|       1717.59|         1717.44|    2|     88|           0|               0|   972397|        1718.01| 971935|         1717.19|      16|             0.02|          0|              0|         0|             0|         0|             0|  1080.46|        1954.75| 353679|      624.87|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 22:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       547|    547|           1|    952382|        1741.09|       1741.09|         1741.09|    0|      0|           0|               0|   952677|        1741.63| 952229|         1740.82|      19|             0.03|          0|              0|         0|             0|         0|             0|  1071.41|        2005.72| 348016|      636.22|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 21:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       288|    288|           1|    508744|        1766.47|       1766.47|         1766.47|    0|      0|           0|               0|   508960|        1767.22| 508657|         1766.17|      11|             0.03|          0|              0|         0|             0|         0|             0|   576.65|        2050.32| 183766|      638.07|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 20:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       419|    419|           1|    758789|        1810.95|       1810.95|         1810.95|    0|      0|           0|               0|   758990|        1811.43| 758662|         1810.64|      15|             0.03|          0|              0|         0|             0|         0|             0|   818.08|        1999.32| 265038|      632.54|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
