SNAPSHOT_TIME;HOST;TABLE_NAME;PART_CNT;DISK_GB;PAGE_COUNT
2021/08/30 00:00:00;s4hd1prd;SAPS4D.MATDOC;    1;         3.24;      3.24
2021/08/30 00:00:00;s4hd1prd;SAPS4D.MARC;    1;         0.02;      0.02
2021/08/30 00:00:00;s4hd1prd;SAPS4D.EKKO;    1;         0.01;      0.01
2021/08/30 06:00:00;s4hd1prd;SAPS4D.MATDOC;    1;         3.25;      3.25
2021/08/30 06:00:00;s4hd1prd;SAPS4D.MARC;    1;         0.02;      0.02
2021/08/30 06:00:00;s4hd1prd;SAPS4D.EKKO;    1;         0.01;      0.01
2021/08/30 12:00:00;s4hd1prd;SAPS4D.MATDOC;    1;         3.25;      3.25
2021/08/30 12:00:00;s4hd1prd;SAPS4D.MARC;    1;         0.02;      0.02
2021/08/30 12:00:00;s4hd1prd;SAPS4D.EKKO;    1;         0.01;      0.01
2021/08/30 18:00:00;s4hd1prd;SAPS4D.MATDOC;    1;         3.25;      3.25
2021/08/30 18:00:00;s4hd1prd;SAPS4D.MARC;    1;         0.02;      0.02
2021/08/30 18:00:00;s4hd1prd;SAPS4D.EKKO;    1;         0.01;      0.01
2021/08/31 00:00:00;s4hd1prd;SAPS4D.MATDOC;    1;         3.25;      3.25
2021/08/31 00:00:00;s4hd1prd;SAPS4D.MARC;    1;         0.02;      0.02
2021/08/31 00:00:00;s4hd1prd;SAPS4D.EKKO;    1;         0.01;      0.01
