--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME                                                 |HOST                                   |TABLE_TYPE|COLUMN_CNT|PART_CNT|PART_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |RECORDS    |INDEX_CNT|LOB_CNT|TRIGGER_CNT|MEM_TOTAL_GB|MEM_DELTA_GB|DISK_GB|CREATE_TIME        |LAST_MERGE_TIME    |READ_COUNT  |WRITE_COUNT |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SAPABAP1   |ACDOCA                                                     |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |       380|      36|RANGE FISCYEARPER 2017000-2018000,2018000-2019000,2019000-2019001,2019001-2019004,2019004-2019007,2019007-2019010,2019010-2019013,2019013-2020000,2020000-2020001,2020001-2020004,2020004-2020007,2020007-2020010,2020010-2020011,2020011-2020012,2020012-2020013,2020013-2020113,2020113-2020213,2020213-2020313,2020313-2021000,2021000-2021002,2021002-2021003,2021003-2021004,2021004-2021005,2021005-2021006,2021006-2021007,2021007-2021008,2021008-2021009,2021009-2021010,2021010-2021011,2021011-2021012,2021012-2021013,2021013-2021113,2021113-2021213,2021213-2021313,2021313-2022000,*|10248715977|        5|      0|          0|      211.51|        0.51| 439.86|2019/10/20 17:58:22|2019/10/21 06:07:07|       50556|       21651|
|SAPABAP1   |ACDOCC                                                     |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |       130|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |  444811006|        0|      0|          0|         3.9|        0.26|   7.37|2020/03/07 02:26:56|2021/07/08 16:29:53|       33848|         324|
|SAPABAP1   |FINSC_FISC_DATE                                            |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        21|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |      46021|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:48:39|2021/02/12 22:16:08|       23175|           0|
|SAPABAP1   |RTC_DRR                                                    |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        23|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |      28209|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:53:22|2021/07/10 14:06:16|       41404|       27784|
|SAPABAP1   |RTC_ENTITY_M                                               |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        27|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |        463|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:53:22|2021/07/12 22:10:08|     1825541|          82|
|SAPABAP1   |RTC_LEDGER_GROUP                                           |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |         5|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          4|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:53:23|2021/03/29 17:08:12|       23929|           0|
|SAPABAP1   |SKA1                                                       |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        22|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |      25435|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:53:59|2021/07/08 15:22:00|      206398|          44|
|SAPABAP1   |T001                                                       |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        81|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |        528|        2|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:57:45|2021/05/04 15:29:53|       22921|           0|
|SAPABAP1   |T004                                                       |sg11scbh1rrd0.hec.standardchartered.com|COLUMN    |        12|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |         42|        1|      0|          0|         0.0|         0.0|    0.0|2018/03/13 17:57:48|2021/07/13 01:31:39|       21734|           2|
