---------------------------------------------------------------------------------
|PARAMETERS                 |NUM|LAST_TIME          |SOURCE                     |
---------------------------------------------------------------------------------
|'400', '500107209820210001'|  6|2021/08/31 00:40:22|M_EXPENSIVE_STATEMENTS     |
|'400', '500107213920210001'|  6|2021/08/31 00:38:12|M_EXPENSIVE_STATEMENTS     |
|'400', '500107209720210001'|  6|2021/08/31 00:35:10|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219120210001'|  6|2021/08/31 00:34:41|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219020210001'|  6|2021/08/31 00:34:19|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216920210001'|  6|2021/08/31 00:33:57|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216820210001'|  6|2021/08/31 00:33:36|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216720210001'|  6|2021/08/31 00:33:12|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216620210001'|  6|2021/08/31 00:33:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216520210001'|  6|2021/08/31 00:32:36|M_EXPENSIVE_STATEMENTS     |
|'400', '490613708320210001'|  6|2021/08/31 00:32:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217620210001'|  6|2021/08/31 00:31:34|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217520210001'|  6|2021/08/31 00:30:07|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212520210001'|  6|2021/08/31 00:29:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217420210001'|  6|2021/08/31 00:29:48|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217320210001'|  6|2021/08/31 00:29:16|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212420210001'|  6|2021/08/31 00:27:08|M_EXPENSIVE_STATEMENTS     |
|'400', '500107213820210001'|  6|2021/08/31 00:26:18|M_EXPENSIVE_STATEMENTS     |
|'400', '490613690920210001'|  6|2021/08/31 00:23:08|M_EXPENSIVE_STATEMENTS     |
|'400', '490613696420210001'|  6|2021/08/31 00:22:22|M_EXPENSIVE_STATEMENTS     |
|'400', '490613696220210001'|  6|2021/08/31 00:21:59|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217220210001'|  6|2021/08/31 00:21:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107220720210001'|  6|2021/08/31 00:50:46|M_EXPENSIVE_STATEMENTS     |
|'400', '500107218220210001'|  6|2021/08/31 00:49:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221220210001'|  6|2021/08/31 00:49:18|M_EXPENSIVE_STATEMENTS     |
|'400', '490613712520210001'|  6|2021/08/31 00:48:12|M_EXPENSIVE_STATEMENTS     |
|'400', '490613708920210001'|  6|2021/08/31 00:48:04|M_EXPENSIVE_STATEMENTS     |
|'400', '490613712420210001'|  6|2021/08/31 00:47:39|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221120210001'|  6|2021/08/31 00:47:01|M_EXPENSIVE_STATEMENTS     |
|'400', '490613712320210001'|  6|2021/08/31 00:45:35|M_EXPENSIVE_STATEMENTS     |
|'400', '490613712220210001'|  6|2021/08/31 00:45:12|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221020210001'|  6|2021/08/31 00:44:50|M_EXPENSIVE_STATEMENTS     |
|'400', '490613712120210001'|  6|2021/08/31 00:43:36|M_EXPENSIVE_STATEMENTS     |
