-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME|COLUMN_NAME                                                        |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                                    |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|any |30103|any    |SAPS4D     |EKKO      |$_SYS_SHADOW_SUBMI$                                                |       1|        4584|     0|DEFAULT    |NONE      |                |TEXT             |     1|NO      |Fulltext index esh:ftx~saps4d~ekko~submi~001|        4.93|        0.15|          0|              0|            0|2021/08/30 23:14:31|
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=1018b4c0c61a~ty=alph10~a=ebeln~t=ekko~cv=alphanum$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.03|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=1ac78ccf76d0~ty=date27~a=kdatb~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=3850471f2dec~ty=date27~a=ihran~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=6348b9f37870~ty=date27~a=aedat~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=87aa60cadc0f~ty=alph10~a=lifnr~t=ekko~cv=alphanum$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.02|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=ac076de0f393~ty=date27~a=kdate~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=d23ac419ff21~ty=date27~a=bedat~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
|any |30103|any    |SAPS4D     |EKKO      |$esh:ca~id=d706a193b5e0~ty=date27~a=angdt~t=ekko~cv=longdate$      |       1|          -1|     0|DEFAULT    |FULL      |                |CONCAT_ATTRIBUTE |     0|NO      |                                            |        0.01|         0.0|          0|              0|            0|                   |
